"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Macanal","2024","Contratación Directa (con ofertas)","16","668182737.0"
"Villa De Leyva","2021","Contratación Directa (con ofertas)","5","591134390"
"Sutatenza","2020","Contratación régimen especial (con ofertas)","1","173543000"
"Santana","2023","Selección Abreviada de Menor Cuantía","1","158606855"
"Tuta","2025","Selección Abreviada de Menor Cuantía","16","3742415961.15"
"Moniquirá","2018","Contratación directa","1","137250889"
"San Luis De Gaceno","2026","Contratación régimen especial (con ofertas)","2","726000000"
"Sutatenza","2018","Contratación régimen especial (con ofertas)","1","227000000"
"Puerto Boyacá","2024","Contratación régimen especial","122","7452685706"
"Cucaita","2024","Contratación régimen especial","1","7000000"
"Cubará","2024","Mínima cuantía","2","39856658"
"Ramiriquí","2025","Contratación régimen especial (con ofertas)","5","1153157660"
"Iza","2025","Mínima cuantía","39","736051837.67"
"Tunja","2026","Contratación régimen especial (con ofertas)","138","252332682350.31"
"Firavitoba","2023","Contratación directa","19","107442000"
"Saboyá","2025","Contratación régimen especial (con ofertas)","7","2846802485"
"Paipa","2023","Selección Abreviada de Menor Cuantía","5","618361369.74"
"Sáchica","2025","Licitación pública Obra Publica","1","856005222"
"Tunja","2022","Enajenación de bienes con sobre cerrado","3","646075000"
"Almeida","2022","Contratación régimen especial (con ofertas)","3","431979881.54"
"Boyacá","2023","Mínima cuantía","6","111047706.85"
"Sáchica","2023","Mínima cuantía","19","264156848.99"
"Chiquinquirá","2026","Contratación directa","372","6786301146.34"
"San Pablo De Borbur","2026","Contratación régimen especial (con ofertas)","5","1196256935.95"
"Iza","2017","Mínima cuantía","1","2603000"
"Siachoque","2023","Contratación régimen especial (con ofertas)","3","328628000"
"Ramiriquí","2025","Contratación régimen especial","5","4081090535.5"
"Soatá","2021","Contratación régimen especial","1","10000000"
"Floresta","2026","Selección abreviada subasta inversa","1","499000000"
"Tunja","2025","Contratación directa","8059","356683931045.95"
"Sutamarchán","2024","Selección Abreviada de Menor Cuantía","1","193492500"
"Viracachá","2020","Contratación régimen especial (con ofertas)","3","244655390"
"Puerto Boyacá","2022","Concurso de méritos abierto","14","4425862945.7"
"Tunja","2021","Selección Abreviada de Menor Cuantía","75","22870283756.48"
"Belén","2018","Contratación régimen especial","2","763323399"
"Chiscas","2025","Contratación régimen especial (con ofertas)","6","1451296541"
"Garagoa","2025","Contratación régimen especial (con ofertas)","22","527134772"
"Guateque","2021","Contratación régimen especial","4","256360000"
"Aquitania","2022","Contratación régimen especial","7","57599076"
"Susacón","2023","Contratación directa","2","7240000"
"Chiscas","2025","Contratación régimen especial","6","1037836835.08"
"Puerto Boyacá","2021","Contratación Directa (con ofertas)","18","8652821596"
"Moniquirá","2026","Contratación régimen especial (con ofertas)","14","22147043873"
"Betéitiva","2020","Contratación régimen especial (con ofertas)","2","120893884"
"Miraflores","2026","Contratación régimen especial","18","463580599"
"Tunja","2025","Contratación régimen especial (con ofertas)","161","374224763449.29"
"Ramiriquí","2025","Licitación pública Obra Publica","2","14201457482.92"
"Sotaquirá","2024","Mínima cuantía","37","1005929633.26"
"Sativasur","2024","Contratación directa","47","961162499"
"Tutazá","2021","Contratación régimen especial (con ofertas)","2","160918235"
"Maripí","2023","Contratación régimen especial","3","63744274"
"Tasco","2025","Contratación régimen especial (con ofertas)","7","2502428258.54"
"Moniquirá","2026","Licitación pública","1","83360587.05"
"Boavita","2026","Selección abreviada subasta inversa","1","100000000"
"Socotá","2026","Contratación directa","133","2396753871.66"
"Motavita","2025","Contratación régimen especial","1","74400000000"
"Betéitiva","2024","Contratación régimen especial (con ofertas)","6","570036297.12"
"Puerto Boyacá","2024","Selección abreviada subasta inversa","32","6117056853"
"Floresta","2018","Contratación régimen especial","1","133593600"
"Santa María","2024","Selección Abreviada de Menor Cuantía","7","1469075530"
"Jenesano","2024","Contratación régimen especial (con ofertas)","7","1398786070.86"
"Miraflores","2025","Contratación régimen especial (con ofertas)","11","3759111058"
"Paz De Río","2025","Contratación régimen especial","5","162151148.3"
"Chiquinquirá","2024","Licitación pública Obra Publica","1","2363047691.74"
"Ramiriquí","2023","Concurso de méritos abierto","2","199307610.1"
"Tenza","2019","Contratación régimen especial (con ofertas)","1","32945949"
"Villa De Leyva","2024","Mínima cuantía","38","940215752.30"
"Nuevo Colón","2025","Selección Abreviada de Menor Cuantía","10","2249909964.74"
"Covarachía","2024","Selección abreviada subasta inversa","4","729147591"
"Gameza","2025","Contratación régimen especial (con ofertas)","8","1686955081.74"
"Ramiriquí","2019","Contratación régimen especial (con ofertas)","3","619424240"
"Berbeo","2024","Mínima cuantía","27","492891382.92"
"Guateque","2022","Mínima cuantía","8","78164968"
"Pesca","2023","Mínima cuantía","12","232656656.1"
"Puerto Boyacá","2026","Contratación Directa (con ofertas)","5","4640378114"
"Nobsa","2023","Selección abreviada subasta inversa","4","446279719"
"Aquitania","2026","Contratación directa","90","2037573135.35"
"Macanal","2025","Contratación Directa (con ofertas)","27","2669502220.29"
"Macanal","2025","Concurso de méritos abierto","2","202065693.99"
"Cucaita","2024","Contratación directa","85","1445426161.81"
"Villa De Leyva","2021","Selección Abreviada de Menor Cuantía","2","101339954"
"Gachantivá","2026","Mínima cuantía","29","643255613.09"
"Toca","2026","Contratación directa","1","9500000"
"Cubará","2025","Contratación régimen especial (con ofertas)","3","870971712"
"Tunja","2024","Contratación régimen especial (con ofertas)","117","153660845304.64"
"Sogamoso","2023","Contratación Directa (con ofertas)","5","585223541"
"Pachavita","2021","Contratación régimen especial (con ofertas)","1","56726345"
"Chiquinquirá","2021","Contratación régimen especial","1","102074390"
"Pesca","2025","Selección abreviada subasta inversa","3","1732556961"
"Pisba","2021","Contratación régimen especial (con ofertas)","2","134883300"
"Samacá","2022","Contratación régimen especial (con ofertas)","2","790847172"
"San Pablo De Borbur","2026","Contratación directa","114","2347900522.48"
"Santana","2024","Contratación directa","160","1617633433.67"
"Tópaga","2023","Contratación directa","8","109443164"
"Paya","2026","Contratación régimen especial (con ofertas)","6","1830481335"
"Motavita","2025","Contratación directa","84","1491203175.80"
"Miraflores","2022","Selección abreviada subasta inversa","2","784456576"
"Sogamoso","2022","Licitación pública","8","18508689127.9"
"Togüí","2020","Contratación régimen especial","1","0"
"Iza","2019","Contratación régimen especial (con ofertas)","2","125000000"
"Chiquinquirá","2022","Contratación directa","386","5429371643.67"
"Macanal","2026","Selección Abreviada de Menor Cuantía","2","401939192.07"
"Santa María","2025","Mínima cuantía","46","1351510440.68"
"El Cocuy","2025","Concurso de méritos abierto","3","201660419"
"Cómbita","2024","Contratación régimen especial (con ofertas)","8","2359975892.99"
"Moniquirá","2020","Contratación régimen especial","3","158760398"
"Somondoco","2022","Contratación régimen especial (con ofertas)","5","568097105.26"
"Tibasosa","2025","Licitación pública","3","2046280400"
"Moniquirá","2018","Mínima cuantía","28","136691269"
"Chiquinquirá","2022","Selección abreviada subasta inversa","3","307000000"
"Pesca","2025","Mínima cuantía","36","883933231.60"
"Tunja","2020","Selección Abreviada de Menor Cuantía","41","13003527747.94"
"Tunja","2019","Contratación directa","176","19036804105"
"Tibasosa","2025","Selección abreviada subasta inversa","16","1883091094.94"
"Briceño","2024","Selección Abreviada de Menor Cuantía","3","299473687.97"
"Sogamoso","2024","Concurso de méritos abierto","7","2480438282"
"Guateque","2019","Mínima cuantía","44","173280834.75"
"Muzo","2025","Contratación régimen especial","1","19800000"
"Boavita","2024","Selección Abreviada de Menor Cuantía","7","1195299176.2"
"Paz De Río","2024","Contratación directa","126","1527031429.7"
"Gachantivá","2025","Contratación Directa (con ofertas)","2","119143611"
"Duitama","2022","Selección abreviada subasta inversa","10","7108873471.69"
"Boyacá","2026","Selección abreviada subasta inversa","3","587849250"
"El Cocuy","2023","Mínima cuantía","8","133878866.61"
"Güicán","2024","Mínima cuantía","5","26297590.03"
"Zetaquira","2024","Contratación directa","2","438750000"
"Garagoa","2023","Selección abreviada subasta inversa","2","246168809.99"
"Tibasosa","2022","Selección Abreviada de Menor Cuantía","4","329791250.75"
"Covarachía","2025","Contratación régimen especial (con ofertas)","9","632598798.9"
"Firavitoba","2025","Selección Abreviada de Menor Cuantía","2","223856653"
"Santana","2022","Contratación régimen especial (con ofertas)","4","1480214586.63"
"Sotaquirá","2025","Contratación directa","157","2852580399.38"
"Chiscas","2024","Contratación régimen especial (con ofertas)","8","1202179619.27"
"Moniquirá","2022","Mínima cuantía","19","284157027"
"Ráquira","2026","Mínima cuantía","24","579619095.72"
"Tenza","2025","Contratación régimen especial (con ofertas)","3","401700000"
"No Definido","2025","Selección abreviada subasta inversa","56","14530243717.12"
"Samacá","2023","Selección abreviada subasta inversa","1","235000000"
"Pesca","2026","Selección Abreviada de Menor Cuantía","2","372046217"
"Tinjacá","2026","Contratación directa","33","915157203.86"
"Motavita","2024","Concurso de méritos abierto","1","121420000"
"Paipa","2023","Concurso de méritos abierto","1","84090000"
"Villa De Leyva","2024","Contratación directa","224","4134196072.81"
"Muzo","2020","Contratación régimen especial (con ofertas)","3","842223250"
"Santana","2023","Licitación pública Obra Publica","1","974978585"
"Chíquiza","2021","Contratación régimen especial","2","30000000"
"Socha","2022","Contratación régimen especial (con ofertas)","6","1228737230"
"Soatá","2026","Contratación régimen especial","1","60667160"
"Macanal","2023","Mínima cuantía","8","162862588"
"Tasco","2026","Licitación pública Obra Publica","1","520100207"
"Paya","2026","Selección abreviada subasta inversa","6","1175058229.94"
"Turmequé","2018","Contratación régimen especial","5","963552762"
"Belén","2025","Selección Abreviada de Menor Cuantía","5","454800842.78"
"Cuítiva","2021","Contratación régimen especial (con ofertas)","1","101652000"
"No Definido","2018","Contratación régimen especial (con ofertas)","14","3261579133"
"Belén","2019","Contratación régimen especial (con ofertas)","3","272175695"
"Tinjacá","2024","Contratación régimen especial","3","24560000"
"Boyacá","2020","Contratación régimen especial (con ofertas)","5","433032465"
"Soatá","2024","Contratación régimen especial (con ofertas)","7","20456872832.92"
"Garagoa","2026","Licitación pública Obra Publica","2","2505123038"
"Socha","2020","Contratación régimen especial","4","132739162"
"Oicatá","2025","Selección Abreviada de Menor Cuantía","1","235975454.04"
"Soatá","2026","Contratación régimen especial (con ofertas)","2","1528928388.92"
"Tunja","2025","Concurso de méritos abierto","23","10426084320.00"
"Sora","2023","Contratación directa","3","22200000"
"Guateque","2024","Licitación pública Obra Publica","2","1059011910.16"
"Guateque","2023","Contratación régimen especial","3","210849522"
"Macanal","2026","Concurso de méritos abierto","2","732594851.5"
"No Definido","2025","Contratación Directa (con ofertas)","8","4664707309.84"
"La Uvita","2024","Contratación régimen especial (con ofertas)","9","1100816210.44"
"Somondoco","2024","Selección abreviada subasta inversa","5","520151422.51"
"Betéitiva","2024","Selección abreviada subasta inversa","1","112756449.9"
"Tunja","2024","Selección abreviada subasta inversa","69","46136266910.75"
"Chiquinquirá","2026","Licitación pública","4","44857265592"
"Caldas","2023","Contratación directa","6","562627309"
"Tunja","2026","Contratación Directa (con ofertas)","247","102513978392.75"
"Villa De Leyva","2026","Mínima cuantía","21","659603370"
"Sativanorte","2024","Selección Abreviada de Menor Cuantía","8","1065598768.58"
"Chita","2021","Contratación régimen especial (con ofertas)","1","361347480"
"Tenza","2024","Contratación régimen especial (con ofertas)","1","200000000"
